brand,category,date,discount,id_product,name,perc_discount,price,price_discount
Dockers,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001012241509244,Camiseta de hombre gris de manga corta,0.0,29.0,29.0
Dockers,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001012240024716,Camiseta de hombre multicolor de manga corta,0.0,34.0,34.0
Dockers,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001012241509236,Camiseta de hombre roja de manga corta,0.0,29.0,29.0
Dockers,"Moda hombre,Ropa,Abrigos,Gabardinas y chubasqueros",2022-04-11,0.0,001012250003972,Gabardina de hombre crudo lisa,0.0,159.0,159.0
Green Coast,"Moda hombre,Ropa,Pantalones,Pantalones joggers",2022-04-11,6.0,001025064902551,Pantalón deportivo largo de hombre crema,20.0,29.99,23.99
Green Coast,"Moda hombre,Ropa,Cazadoras",2022-04-11,15.0,001025061604705,Cazadora vaquera de hombre blanca,30.0,49.99,34.99
Green Coast,"Moda hombre,Ropa,Vaqueros",2022-04-11,12.0,001025069803028,Vaquero de hombre relaxed blanco,30.0,39.99,27.99
Green Coast,"Moda hombre,Ropa,Vaqueros",2022-04-11,12.0,001025069803010,Vaquero de hombre extra loose azul,30.0,39.99,27.99
Green Coast,"Moda hombre,Ropa,Camisas",2022-04-11,12.0,001025063203563,Sobrecamisa vaquera de hombre lisa azul,30.0,39.99,27.99
Selected,"Moda hombre,Ropa,Pantalones,Chinos",2022-04-11,0.0,001012210105909,Chino de hombre slim fit,0.0,59.99,59.99
Calvin Klein,"Moda hombre,Ropa,Camisas",2022-04-11,0.0,001033711805391,Camisa tipo polo slim de hombre,0.0,69.9,69.9
Easy Wear,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001051900306625,Vaquero de hombre skinny negro,0.0,29.99,29.99
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002126,Camiseta de hombre de manga corta y boxy fit,0.0,49.9,49.9
Calvin Klein Jeans,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001088240002118,Camiseta de hombre de manga corta y cuello redondo,0.0,39.9,39.9
Desigual,"Moda hombre,Ropa,Pantalones cortos y Bermudas",2022-04-11,0.0,001029711100635,Bermudas de hombre blancas con estampado fantasía,0.0,79.95,79.95
Desigual,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001029740300297,Polo de hombre de manga corta naranja,0.0,59.95,59.95
Desigual,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001029740300313,Polo de hombre de manga corta blanco,0.0,59.95,59.95
Desigual,"Moda hombre,Ropa,Polos",2022-04-11,0.0,001029740300321,Polo de hombre de manga corta rosa salmón,0.0,59.95,59.95
Desigual,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001029740100176,Camiseta de hombre gris estampado grande,0.0,49.95,49.95
Desigual,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001029740001242,Camiseta de hombre verde con dibujo frontal,0.0,39.95,39.95
Desigual,"Moda hombre,Ropa,Camisetas",2022-04-11,0.0,001029740001283,Camiseta de hombre amarilla con dibujo frontal,0.0,39.95,39.95
Easy Wear,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001051900306575,Vaquero de hombre skinny azul,0.0,29.99,29.99
Easy Wear,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001051900306567,Vaquero de hombre skinny azul,0.0,29.99,29.99
Dustin,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001004225500877,Vaquero de hombre regular,0.0,35.95,35.95
Easy Wear,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001051900306591,Vaquero de hombre skinny azul,0.0,29.99,29.99
Sfera,"Moda hombre,Ropa,Vaqueros",2022-04-11,0.0,001056110007434,Vaquero de hombre regular azul,0.0,17.99,17.99
